Comment,Designator,Footprint,LCSC
10n,C14,C_0402_1005Metric,C15195
100n,"C11,C2,C3,C4,C5,C6",C_0402_1005Metric,C1525
12p,"C15,C16",C_0402_1005Metric,C1547
4u7,C1,C_0603_1608Metric,C19666
47,R5,R_0402_1005Metric,C25118
10k,"R3,R4,R6,R7",R_0402_1005Metric,C25744
8MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C2973805
1u,"C12,C13",C_0402_1005Metric,C52923
10u,C8,C_1206_3216Metric,
ME6208A44M3G,U1,SOT-23,
4u7,C17,C_0805_2012Metric,
10u,C7,C_1206_3216Metric,
10u,C10,C_1206_3216Metric,
STM32F401RCTx,U5,LQFP-64_10x10mm_P0.5mm,
BSS138,Q1,SOT-23,
5.1k,R1,C_0402_1005Metric,
PRTR5V0U2X,U3,SOT-143B,
ME6212C25M5G,U2,SOT-23-5,
5.1k,R2,C_0402_1005Metric,
100n,C18,C_0402_1005Metric,
10u,C9,C_1206_3216Metric,
100n,C20,C_0402_1005Metric,
100n,C19,C_0402_1005Metric,
USB-TYPE-C-016,P1,USB-TYPE-C-016_Receptacle_DEALON_16P_MidMnt,
nSMD050-24V,F1,Fuse_1206_3216Metric,
100n,C26,C_0402_1005Metric,
100n,C29,C_0402_1005Metric,
100n,C25,C_0402_1005Metric,
100n,C27,C_0402_1005Metric,
WS2812B,D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
100n,C21,C_0402_1005Metric,
100n,C22,C_0402_1005Metric,
WS2812B,D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
100n,C23,C_0402_1005Metric,
WS2812B,D7,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D9,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
TS-1187A-B-A-B,SW3,TS-1187A,
WS2812B,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D8,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
100n,C28,C_0402_1005Metric,
WS2812B,D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
100n,C24,C_0402_1005Metric,
GZ2012D601TF,FB1,C_0805_2012Metric,
BUTT3,SW7,SW_Push_1P1T_NO_6x6mm_H9.5mm,
SLSS49E,U9,SOT-23,
BUTT2,SW8,SW_Push_1P1T_NO_6x6mm_H9.5mm,
BUTT1,SW6,SW_Push_1P1T_NO_6x6mm_H9.5mm,
SLSS49E,U8,SOT-23,
SLSS49E,U7,SOT-23,
Conn_01x04_Socket,J1,PinSocket_1x04_P2.54mm_Vertical,
TS-1187A-B-A-B,SW5,TS-1187A,
